country,code,income,cigarette_consumption
Niger,NER,LOW,118.808847577466
Ethiopia,ETH,LOW,115.285935268881
Guatemala,GTM,MIDDLE,111.774088711766
Peru,PER,MIDDLE,97.6932864957748
Rwanda,RWA,LOW,93.9934147706611
Ecuador,ECU,MIDDLE,93.4932464995001
Swaziland,SWZ,MIDDLE,91.6602606328958
India,IND,MIDDLE,89.2887853126138
Antigua and Barbuda,ATG,HIGH,89.2174103669498
Ghana,GHA,MIDDLE,40.5400428392624
Mauritania,MRT,MIDDLE,30.2603234628437
Guinea-Bissau,GNB,LOW,25.276251566547
Brunei Dar.,BRN,HIGH,9.67612439286855
